member_id,employee_number,nrc,first_name,last_name,gender,date_of_birth,date_joined_employer,date_joined_scheme,employment_status,department,sector,retirement_age,normal_retirement_date,current_age,service_years,pensionable_service_years,years_to_retirement,basic_salary,housing_allowance,transport_allowance,total_monthly_salary,pensionable_salary,annual_pensionable_salary,employee_contribution_rate,employer_contribution_rate,employee_monthly_contribution,employer_monthly_contribution,total_monthly_contribution,ee_accumulated_contributions,er_accumulated_contributions,total_accumulated_contributions,investment_return_assumption,salary_growth_assumption,inflation_assumption,accrual_rate,withdrawal_rate,disability_rate,spouse_percentage,mortality_table,benefit_formula_type,pension_type,projected_final_salary,projected_pension_benefit,last_valuation_date,status
MBR0000001,EMP000001,349083/66/2,Member1,Surname379,Female,1976-05-22,2013-04-29,2014-03-08,Active,Operations,Public,65.0,2041-04-28,50.0,13.0,12.16,15.0,49268.0,10735.97,2905.23,62909.2,45206.24,542474.88,0.07,0.15,3164.44,6780.94,9945.38,522060.4,1194396.97,1716457.37,0.0833,0.0491,0.0666,0.0167,0.0491,0.0091,0.63,SAPS S2,Hybrid,Hybrid,92779.43,43383.66,2026-12-31,Active
MBR0000002,EMP000002,491694/81/7,Member2,Surname194,Male,1983-10-12,2013-04-29,2013-06-24,Active,Corporate Affairs,Parastatal,65.0,2048-04-28,43.0,13.0,12.07,22.0,19610.0,3050.71,1625.06,24285.77,17225.83,206709.96,0.06,0.1,1033.55,1722.58,2756.13,143621.22,286975.62,430596.84,0.0831,0.0733,0.071,0.02,0.0405,0.0031,0.53,SAPS S2,Hybrid,Hybrid,81666.7,57166.69,2026-12-31,Active
MBR0000003,EMP000003,348893/46/8,Member3,Surname426,Female,1971-03-02,2009-04-29,2010-01-11,Active,Actuarial,Private,65.0,2036-04-28,55.0,17.0,15.7,10.0,5843.0,684.68,565.53,7093.21,5379.44,64553.28,0.07,0.12,376.56,645.53,1022.09,80957.77,134510.43,215468.2,0.0868,0.0522,0.0509,0.02,0.0217,0.0043,0.55,A1967-70,Hybrid,Hybrid,8947.88,4831.86,2026-12-31,Active
MBR0000004,EMP000004,963722/17/3,Member4,Surname59,Female,1983-01-18,2003-04-30,2003-12-28,Active,Risk Management,Parastatal,65.0,2048-04-28,43.0,23.0,22.91,22.0,3834.0,435.19,385.57,4654.76,3524.53,42294.36,0.06,0.1,211.47,352.45,563.92,50248.5,104915.12,155163.62,0.0834,0.0552,0.059,0.02,0.0473,0.0076,0.55,PMA92,DC,Defined Contribution,11493.87,10344.48,2026-12-31,Inactive
MBR0000005,EMP000005,781738/47/7,Member5,Surname21,Female,1993-02-10,2015-04-30,2015-10-11,Active,Finance,Public,60.0,2053-04-28,33.0,11.0,10.44,27.0,18831.0,2454.71,1344.85,22630.56,17642.44,211709.28,0.06,0.15,1058.55,2646.37,3704.92,154177.63,379986.03,534163.66,0.083,0.0651,0.0675,0.02,0.0299,0.0032,0.52,A1967-70,DC,Defined Contribution,96849.87,73605.9,2026-12-31,Active
MBR0000006,EMP000006,356102/11/3,Member6,Surname413,Male,1991-11-28,2012-04-29,2012-11-27,Active,Client Services,Private,60.0,2052-04-28,34.0,14.0,13.85,26.0,52280.0,9010.22,5478.5,66768.72,45086.77,541041.24,0.07,0.1,3156.07,4508.68,7664.75,623077.46,779190.64,1402268.1,0.0842,0.0507,0.0599,0.02,0.0242,0.0064,0.52,PMA92,Hybrid,Hybrid,163115.85,130492.68,2026-12-31,Active
MBR0000007,EMP000007,579840/13/3,Member7,Surname218,Male,1994-03-03,2017-04-29,2018-01-19,Active,Technology,Public,65.0,2059-04-29,32.0,9.0,8.99,33.0,7580.0,800.54,673.4,9053.94,6864.74,82376.88,0.08,0.12,549.18,823.77,1372.95,54973.14,105084.43,160057.57,0.0787,0.0606,0.0577,0.025,0.0468,0.008,0.65,A1967-70,DB,Defined Benefit,47844.02,50236.22,2026-12-31,Active
MBR0000008,EMP000008,388375/96/4,Member8,Surname250,Male,1984-07-05,2025-04-29,2026-02-04,Retired,Legal & Compliance,Private,65.0,2049-04-28,42.0,1.0,0.91,23.0,22834.0,3182.35,2639.08,28655.43,20234.25,242811.0,0.06,0.12,1214.06,2428.11,3642.17,12548.24,25399.22,37947.46,0.088,0.075,0.0559,0.02,0.0204,0.0038,0.52,SAPS S2,Hybrid,Hybrid,106778.0,51253.44,2026-12-31,Active
MBR0000009,EMP000009,637241/59/2,Member9,Surname317,Male,1992-04-27,2013-04-29,2014-01-07,Retired,Risk Management,Public,65.0,2057-04-28,34.0,13.0,11.84,31.0,44123.0,9303.23,2610.94,56037.17,38323.61,459883.32,0.1,0.1,3832.36,3832.36,7664.72,550247.18,595118.16,1145365.34,0.0899,0.0782,0.0586,0.025,0.0242,0.0054,0.66,A1967-70,DC,Defined Contribution,395499.16,435049.08,2026-12-31,Active
MBR0000010,EMP000010,577914/32/3,Member10,Surname119,Female,1973-01-10,2011-04-30,2011-10-17,Active,Research & Analytics,Public,65.0,2038-04-29,53.0,15.0,14.62,12.0,23274.0,5109.17,1542.71,29925.88,21635.87,259630.44,0.08,0.15,1730.87,3245.38,4976.25,324406.09,563739.23,888145.32,0.0812,0.057,0.0696,0.025,0.0445,0.0028,0.51,PMA92,DB,Defined Benefit,42079.85,28403.9,2026-12-31,Active
